model_id,sample_index,stratum_id,sample_within_stratum,facade_configuration,reference_orientation,active_facades,window_type,sill_height_m,window_width_m,window_height_m,overhang_present,overhang_depth_m,overhang_length_m
model_015,15,single_west__floor_to_ceiling__no_overhang,1,single,west,west,floor_to_ceiling,0.0,1.71,3.0,False,0.0,1.71
model_016,16,single_west__floor_to_ceiling__overhang,1,single,west,west,floor_to_ceiling,0.0,1.28,3.0,True,1.23,1.28
model_017,17,three_north_south_west__conventional__no_overhang,1,three_facades,west,north;south;west,conventional,0.9,2.05,0.66,False,0.0,2.05
model_018,18,three_north_east_west__conventional__no_overhang,1,three_facades,north,north;east;west,conventional,0.9,0.63,0.98,False,0.0,0.63
model_019,19,opposite_east_west__floor_to_ceiling__overhang,1,two_opposite,east,east;west,floor_to_ceiling,0.0,2.0,3.0,True,0.32,2.0
model_020,20,three_north_east_west__floor_to_ceiling__overhang,1,three_facades,north,north;east;west,floor_to_ceiling,0.0,0.89,3.0,True,1.19,0.89
model_021,21,single_north__floor_to_ceiling__overhang,1,single,north,north,floor_to_ceiling,0.0,1.41,3.0,True,0.46,1.41
model_022,22,adjacent_south_west__floor_to_ceiling__no_overhang,1,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.08,3.0,False,0.0,1.08
model_023,23,adjacent_north_east__floor_to_ceiling__overhang,1,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.76,3.0,True,0.35,1.76
model_024,24,adjacent_west_north__conventional__no_overhang,1,two_adjacent,west,west;north,conventional,0.9,1.12,1.26,False,0.0,1.12
model_025,25,three_north_south_west__floor_to_ceiling__no_overhang,1,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.3,3.0,False,0.0,1.3
model_026,26,adjacent_east_south__floor_to_ceiling__overhang,1,two_adjacent,east,east;south,floor_to_ceiling,0.0,0.98,3.0,True,0.51,0.98
model_027,27,single_south__conventional__overhang,1,single,south,south,conventional,0.9,2.33,1.63,True,0.41,2.33
model_028,28,adjacent_south_west__conventional__no_overhang,1,two_adjacent,south,south;west,conventional,0.9,1.47,1.14,False,0.0,1.47
model_029,29,single_west__conventional__no_overhang,1,single,west,west,conventional,0.9,2.27,0.86,False,0.0,2.27
model_030,30,three_east_south_west__floor_to_ceiling__no_overhang,1,three_facades,south,east;south;west,floor_to_ceiling,0.0,2.3,3.0,False,0.0,2.3
model_031,31,three_north_east_west__floor_to_ceiling__no_overhang,1,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.59,3.0,False,0.0,1.59
model_032,32,adjacent_north_east__conventional__overhang,1,two_adjacent,north,north;east,conventional,0.9,1.94,1.01,True,1.11,1.94
model_033,33,single_south__conventional__no_overhang,1,single,south,south,conventional,0.9,0.83,1.38,False,0.0,0.83
model_034,34,single_east__floor_to_ceiling__overhang,1,single,east,east,floor_to_ceiling,0.0,0.71,3.0,True,0.66,0.71
model_035,35,adjacent_east_south__floor_to_ceiling__no_overhang,1,two_adjacent,east,east;south,floor_to_ceiling,0.0,2.03,3.0,False,0.0,2.03
model_036,36,three_north_east_south__conventional__overhang,1,three_facades,east,north;east;south,conventional,0.9,1.35,1.68,True,1.34,1.35
model_037,37,single_east__floor_to_ceiling__no_overhang,1,single,east,east,floor_to_ceiling,0.0,2.04,3.0,False,0.0,2.04
model_038,38,single_north__conventional__no_overhang,1,single,north,north,conventional,0.9,2.29,1.32,False,0.0,2.29
model_039,39,opposite_north_south__floor_to_ceiling__no_overhang,1,two_opposite,north,north;south,floor_to_ceiling,0.0,0.95,3.0,False,0.0,0.95
model_040,40,adjacent_south_west__conventional__overhang,1,two_adjacent,south,south;west,conventional,0.9,1.32,1.52,True,1.38,1.32
model_041,41,three_north_east_south__floor_to_ceiling__overhang,1,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.67,3.0,True,0.65,1.67
model_042,42,opposite_north_south__floor_to_ceiling__overhang,1,two_opposite,north,north;south,floor_to_ceiling,0.0,0.84,3.0,True,0.65,0.84
model_043,43,adjacent_north_east__conventional__no_overhang,1,two_adjacent,north,north;east,conventional,0.9,1.65,1.15,False,0.0,1.65
model_044,44,opposite_north_south__conventional__overhang,1,two_opposite,north,north;south,conventional,0.9,1.19,1.73,True,0.8,1.19
model_045,45,adjacent_west_north__floor_to_ceiling__overhang,1,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.28,3.0,True,0.44,1.28
model_046,46,three_east_south_west__conventional__overhang,1,three_facades,south,east;south;west,conventional,0.9,0.68,1.62,True,0.33,0.68
model_047,47,single_east__conventional__overhang,1,single,east,east,conventional,0.9,0.78,0.82,True,0.91,0.78
model_048,48,adjacent_west_north__conventional__overhang,1,two_adjacent,west,west;north,conventional,0.9,0.92,0.8,True,1.4,0.92
model_049,49,three_east_south_west__floor_to_ceiling__overhang,1,three_facades,south,east;south;west,floor_to_ceiling,0.0,0.99,3.0,True,0.82,0.99
model_050,50,adjacent_south_west__floor_to_ceiling__overhang,1,two_adjacent,south,south;west,floor_to_ceiling,0.0,2.36,3.0,True,1.3,2.36
model_051,51,opposite_east_west__conventional__no_overhang,1,two_opposite,east,east;west,conventional,0.9,1.76,1.67,False,0.0,1.76
model_052,52,three_north_south_west__conventional__overhang,1,three_facades,west,north;south;west,conventional,0.9,1.63,0.89,True,0.9,1.63
model_053,53,single_east__conventional__no_overhang,1,single,east,east,conventional,0.9,0.64,1.41,False,0.0,0.64
model_054,54,adjacent_east_south__conventional__overhang,1,two_adjacent,east,east;south,conventional,0.9,1.38,1.35,True,0.72,1.38
model_055,55,single_west__conventional__overhang,1,single,west,west,conventional,0.9,1.9,1.46,True,1.18,1.9
model_056,56,single_south__floor_to_ceiling__no_overhang,1,single,south,south,floor_to_ceiling,0.0,1.94,3.0,False,0.0,1.94
model_057,57,three_north_east_west__conventional__no_overhang,2,three_facades,north,north;east;west,conventional,0.9,1.63,0.64,False,0.0,1.63
model_058,58,three_north_south_west__conventional__overhang,2,three_facades,west,north;south;west,conventional,0.9,2.36,1.75,True,0.4,2.36
model_059,59,adjacent_west_north__floor_to_ceiling__no_overhang,2,two_adjacent,west,west;north,floor_to_ceiling,0.0,2.29,3.0,False,0.0,2.29
model_060,60,three_north_east_south__floor_to_ceiling__no_overhang,2,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.72,3.0,False,0.0,1.72
model_061,61,adjacent_east_south__conventional__overhang,2,two_adjacent,east,east;south,conventional,0.9,1.57,2.07,True,0.94,1.57
model_062,62,single_south__floor_to_ceiling__no_overhang,2,single,south,south,floor_to_ceiling,0.0,2.25,3.0,False,0.0,2.25
model_063,63,adjacent_east_south__conventional__no_overhang,2,two_adjacent,east,east;south,conventional,0.9,2.35,1.61,False,0.0,2.35
model_064,64,three_north_east_south__conventional__overhang,2,three_facades,east,north;east;south,conventional,0.9,2.11,1.17,True,1.23,2.11
model_065,65,single_south__floor_to_ceiling__overhang,2,single,south,south,floor_to_ceiling,0.0,1.39,3.0,True,0.85,1.39
model_066,66,opposite_east_west__conventional__no_overhang,2,two_opposite,east,east;west,conventional,0.9,1.46,1.45,False,0.0,1.46
model_067,67,single_west__conventional__no_overhang,2,single,west,west,conventional,0.9,1.1,1.7,False,0.0,1.1
model_068,68,three_north_east_south__conventional__no_overhang,2,three_facades,east,north;east;south,conventional,0.9,1.25,0.9,False,0.0,1.25
model_069,69,three_north_south_west__conventional__no_overhang,2,three_facades,west,north;south;west,conventional,0.9,2.27,1.08,False,0.0,2.27
model_070,70,single_north__conventional__no_overhang,2,single,north,north,conventional,0.9,0.6,1.83,False,0.0,0.6
model_071,71,adjacent_south_west__conventional__overhang,2,two_adjacent,south,south;west,conventional,0.9,2.24,1.12,True,1.16,2.24
model_072,72,single_west__floor_to_ceiling__overhang,2,single,west,west,floor_to_ceiling,0.0,1.82,3.0,True,0.94,1.82
model_073,73,opposite_north_south__conventional__no_overhang,2,two_opposite,north,north;south,conventional,0.9,0.77,0.81,False,0.0,0.77
model_074,74,three_east_south_west__floor_to_ceiling__overhang,2,three_facades,south,east;south;west,floor_to_ceiling,0.0,2.01,3.0,True,1.19,2.01
model_075,75,adjacent_north_east__floor_to_ceiling__overhang,2,two_adjacent,north,north;east,floor_to_ceiling,0.0,2.32,3.0,True,0.94,2.32
model_076,76,adjacent_north_east__conventional__overhang,2,two_adjacent,north,north;east,conventional,0.9,1.43,1.25,True,0.42,1.43
model_077,77,opposite_north_south__conventional__overhang,2,two_opposite,north,north;south,conventional,0.9,1.32,1.58,True,0.46,1.32
model_078,78,three_east_south_west__floor_to_ceiling__no_overhang,2,three_facades,south,east;south;west,floor_to_ceiling,0.0,2.02,3.0,False,0.0,2.02
model_079,79,adjacent_east_south__floor_to_ceiling__overhang,2,two_adjacent,east,east;south,floor_to_ceiling,0.0,2.2,3.0,True,0.77,2.2
model_080,80,single_east__floor_to_ceiling__overhang,2,single,east,east,floor_to_ceiling,0.0,2.35,3.0,True,1.29,2.35
model_081,81,three_north_south_west__floor_to_ceiling__overhang,2,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.45,3.0,True,1.01,1.45
model_082,82,adjacent_north_east__conventional__no_overhang,2,two_adjacent,north,north;east,conventional,0.9,1.94,1.38,False,0.0,1.94
model_083,83,opposite_east_west__floor_to_ceiling__no_overhang,2,two_opposite,east,east;west,floor_to_ceiling,0.0,2.17,3.0,False,0.0,2.17
model_084,84,single_north__floor_to_ceiling__no_overhang,2,single,north,north,floor_to_ceiling,0.0,0.9,3.0,False,0.0,0.9
model_085,85,single_north__floor_to_ceiling__overhang,2,single,north,north,floor_to_ceiling,0.0,2.2,3.0,True,0.78,2.2
model_086,86,single_west__floor_to_ceiling__no_overhang,2,single,west,west,floor_to_ceiling,0.0,1.35,3.0,False,0.0,1.35
model_087,87,three_north_south_west__floor_to_ceiling__no_overhang,2,three_facades,west,north;south;west,floor_to_ceiling,0.0,2.29,3.0,False,0.0,2.29
model_088,88,single_south__conventional__no_overhang,2,single,south,south,conventional,0.9,2.35,1.15,False,0.0,2.35
model_089,89,adjacent_east_south__floor_to_ceiling__no_overhang,2,two_adjacent,east,east;south,floor_to_ceiling,0.0,2.24,3.0,False,0.0,2.24
model_090,90,single_east__conventional__overhang,2,single,east,east,conventional,0.9,2.13,1.57,True,0.52,2.13
model_091,91,opposite_east_west__floor_to_ceiling__overhang,2,two_opposite,east,east;west,floor_to_ceiling,0.0,2.32,3.0,True,1.25,2.32
model_092,92,adjacent_west_north__conventional__overhang,2,two_adjacent,west,west;north,conventional,0.9,1.53,0.73,True,0.97,1.53
model_093,93,three_north_east_west__floor_to_ceiling__no_overhang,2,three_facades,north,north;east;west,floor_to_ceiling,0.0,0.76,3.0,False,0.0,0.76
model_094,94,opposite_north_south__floor_to_ceiling__overhang,2,two_opposite,north,north;south,floor_to_ceiling,0.0,1.39,3.0,True,0.78,1.39
model_095,95,three_north_east_south__floor_to_ceiling__overhang,2,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.7,3.0,True,1.43,1.7
model_096,96,single_west__conventional__overhang,2,single,west,west,conventional,0.9,1.0,1.84,True,0.83,1.0
model_097,97,adjacent_south_west__floor_to_ceiling__no_overhang,2,two_adjacent,south,south;west,floor_to_ceiling,0.0,2.29,3.0,False,0.0,2.29
model_098,98,adjacent_south_west__conventional__no_overhang,2,two_adjacent,south,south;west,conventional,0.9,1.66,0.83,False,0.0,1.66
model_099,99,adjacent_west_north__floor_to_ceiling__overhang,2,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.71,3.0,True,1.21,1.71
model_100,100,single_south__conventional__overhang,2,single,south,south,conventional,0.9,1.92,1.1,True,1.21,1.92
model_101,101,three_east_south_west__conventional__overhang,2,three_facades,south,east;south;west,conventional,0.9,2.26,1.1,True,0.9,2.26
model_102,102,adjacent_south_west__floor_to_ceiling__overhang,2,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.7,3.0,True,0.59,1.7
model_103,103,opposite_north_south__floor_to_ceiling__no_overhang,2,two_opposite,north,north;south,floor_to_ceiling,0.0,0.67,3.0,False,0.0,0.67
model_104,104,adjacent_north_east__floor_to_ceiling__no_overhang,2,two_adjacent,north,north;east,floor_to_ceiling,0.0,0.8,3.0,False,0.0,0.8
model_105,105,single_east__conventional__no_overhang,2,single,east,east,conventional,0.9,2.28,1.95,False,0.0,2.28
model_106,106,opposite_east_west__conventional__overhang,2,two_opposite,east,east;west,conventional,0.9,1.87,1.09,True,0.32,1.87
model_107,107,adjacent_west_north__conventional__no_overhang,2,two_adjacent,west,west;north,conventional,0.9,1.58,1.67,False,0.0,1.58
model_108,108,three_east_south_west__conventional__no_overhang,2,three_facades,south,east;south;west,conventional,0.9,2.01,2.0,False,0.0,2.01
model_109,109,three_north_east_west__floor_to_ceiling__overhang,2,three_facades,north,north;east;west,floor_to_ceiling,0.0,2.17,3.0,True,0.78,2.17
model_110,110,three_north_east_west__conventional__overhang,2,three_facades,north,north;east;west,conventional,0.9,1.62,1.81,True,1.35,1.62
model_111,111,single_north__conventional__overhang,2,single,north,north,conventional,0.9,0.98,0.96,True,1.21,0.98
model_112,112,single_east__floor_to_ceiling__no_overhang,2,single,east,east,floor_to_ceiling,0.0,1.83,3.0,False,0.0,1.83
model_113,113,single_north__floor_to_ceiling__overhang,3,single,north,north,floor_to_ceiling,0.0,1.63,3.0,True,0.37,1.63
model_114,114,single_north__conventional__no_overhang,3,single,north,north,conventional,0.9,1.81,1.48,False,0.0,1.81
model_115,115,single_west__floor_to_ceiling__no_overhang,3,single,west,west,floor_to_ceiling,0.0,1.61,3.0,False,0.0,1.61
model_116,116,three_east_south_west__conventional__overhang,3,three_facades,south,east;south;west,conventional,0.9,1.26,0.75,True,0.74,1.26
model_117,117,opposite_north_south__conventional__overhang,3,two_opposite,north,north;south,conventional,0.9,1.93,1.12,True,0.34,1.93
model_118,118,adjacent_south_west__floor_to_ceiling__no_overhang,3,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.96,3.0,False,0.0,1.96
model_119,119,single_north__conventional__overhang,3,single,north,north,conventional,0.9,1.65,1.14,True,1.46,1.65
model_120,120,three_north_east_south__conventional__no_overhang,3,three_facades,east,north;east;south,conventional,0.9,1.64,2.09,False,0.0,1.64
model_121,121,adjacent_east_south__floor_to_ceiling__no_overhang,3,two_adjacent,east,east;south,floor_to_ceiling,0.0,0.64,3.0,False,0.0,0.64
model_122,122,adjacent_south_west__conventional__no_overhang,3,two_adjacent,south,south;west,conventional,0.9,1.84,1.53,False,0.0,1.84
model_123,123,adjacent_east_south__conventional__no_overhang,3,two_adjacent,east,east;south,conventional,0.9,0.72,1.66,False,0.0,0.72
model_124,124,adjacent_north_east__conventional__overhang,3,two_adjacent,north,north;east,conventional,0.9,1.71,1.44,True,0.91,1.71
model_125,125,opposite_east_west__floor_to_ceiling__no_overhang,3,two_opposite,east,east;west,floor_to_ceiling,0.0,1.95,3.0,False,0.0,1.95
model_126,126,adjacent_east_south__conventional__overhang,3,two_adjacent,east,east;south,conventional,0.9,0.65,0.79,True,0.54,0.65
model_127,127,single_north__floor_to_ceiling__no_overhang,3,single,north,north,floor_to_ceiling,0.0,1.7,3.0,False,0.0,1.7
model_128,128,three_north_south_west__conventional__overhang,3,three_facades,west,north;south;west,conventional,0.9,1.92,0.96,True,1.08,1.92
model_129,129,single_east__conventional__no_overhang,3,single,east,east,conventional,0.9,1.48,1.06,False,0.0,1.48
model_130,130,adjacent_west_north__conventional__overhang,3,two_adjacent,west,west;north,conventional,0.9,1.22,1.55,True,1.23,1.22
model_131,131,single_west__conventional__overhang,3,single,west,west,conventional,0.9,1.41,2.03,True,1.46,1.41
model_132,132,three_east_south_west__conventional__no_overhang,3,three_facades,south,east;south;west,conventional,0.9,1.66,1.35,False,0.0,1.66
model_133,133,three_north_east_south__floor_to_ceiling__overhang,3,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.35,3.0,True,0.31,1.35
model_134,134,three_north_east_south__conventional__overhang,3,three_facades,east,north;east;south,conventional,0.9,1.78,1.27,True,0.68,1.78
model_135,135,single_west__floor_to_ceiling__overhang,3,single,west,west,floor_to_ceiling,0.0,2.01,3.0,True,0.6,2.01
model_136,136,three_east_south_west__floor_to_ceiling__no_overhang,3,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.35,3.0,False,0.0,1.35
model_137,137,opposite_east_west__floor_to_ceiling__overhang,3,two_opposite,east,east;west,floor_to_ceiling,0.0,0.62,3.0,True,1.44,0.62
model_138,138,adjacent_north_east__floor_to_ceiling__overhang,3,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.07,3.0,True,0.66,1.07
model_139,139,single_south__conventional__no_overhang,3,single,south,south,conventional,0.9,1.61,1.53,False,0.0,1.61
model_140,140,adjacent_north_east__conventional__no_overhang,3,two_adjacent,north,north;east,conventional,0.9,0.67,0.79,False,0.0,0.67
model_141,141,three_north_east_west__conventional__no_overhang,3,three_facades,north,north;east;west,conventional,0.9,1.99,1.1,False,0.0,1.99
model_142,142,single_south__floor_to_ceiling__overhang,3,single,south,south,floor_to_ceiling,0.0,1.74,3.0,True,0.92,1.74
model_143,143,opposite_east_west__conventional__overhang,3,two_opposite,east,east;west,conventional,0.9,0.69,1.28,True,1.03,0.69
model_144,144,single_south__floor_to_ceiling__no_overhang,3,single,south,south,floor_to_ceiling,0.0,0.79,3.0,False,0.0,0.79
model_145,145,three_north_south_west__conventional__no_overhang,3,three_facades,west,north;south;west,conventional,0.9,1.76,0.85,False,0.0,1.76
model_146,146,single_west__conventional__no_overhang,3,single,west,west,conventional,0.9,1.94,1.18,False,0.0,1.94
model_147,147,three_north_south_west__floor_to_ceiling__no_overhang,3,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.12,3.0,False,0.0,1.12
model_148,148,opposite_east_west__conventional__no_overhang,3,two_opposite,east,east;west,conventional,0.9,2.22,1.01,False,0.0,2.22
model_149,149,adjacent_north_east__floor_to_ceiling__no_overhang,3,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.87,3.0,False,0.0,1.87
model_150,150,single_south__conventional__overhang,3,single,south,south,conventional,0.9,1.35,1.26,True,0.74,1.35
model_151,151,adjacent_west_north__floor_to_ceiling__overhang,3,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.05,3.0,True,0.39,1.05
model_152,152,three_north_south_west__floor_to_ceiling__overhang,3,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.71,3.0,True,0.69,1.71
model_153,153,three_north_east_west__floor_to_ceiling__overhang,3,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.79,3.0,True,0.41,1.79
model_154,154,single_east__floor_to_ceiling__no_overhang,3,single,east,east,floor_to_ceiling,0.0,1.64,3.0,False,0.0,1.64
model_155,155,adjacent_west_north__floor_to_ceiling__no_overhang,3,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.44,3.0,False,0.0,1.44
model_156,156,adjacent_south_west__conventional__overhang,3,two_adjacent,south,south;west,conventional,0.9,0.95,1.89,True,0.72,0.95
model_157,157,three_north_east_west__floor_to_ceiling__no_overhang,3,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.38,3.0,False,0.0,1.38
model_158,158,adjacent_east_south__floor_to_ceiling__overhang,3,two_adjacent,east,east;south,floor_to_ceiling,0.0,0.84,3.0,True,1.23,0.84
model_159,159,single_east__floor_to_ceiling__overhang,3,single,east,east,floor_to_ceiling,0.0,0.91,3.0,True,0.78,0.91
model_160,160,opposite_north_south__conventional__no_overhang,3,two_opposite,north,north;south,conventional,0.9,0.84,1.12,False,0.0,0.84
model_161,161,three_north_east_west__conventional__overhang,3,three_facades,north,north;east;west,conventional,0.9,1.04,1.79,True,1.19,1.04
model_162,162,opposite_north_south__floor_to_ceiling__no_overhang,3,two_opposite,north,north;south,floor_to_ceiling,0.0,2.37,3.0,False,0.0,2.37
model_163,163,adjacent_south_west__floor_to_ceiling__overhang,3,two_adjacent,south,south;west,floor_to_ceiling,0.0,2.11,3.0,True,1.4,2.11
model_164,164,three_north_east_south__floor_to_ceiling__no_overhang,3,three_facades,east,north;east;south,floor_to_ceiling,0.0,2.29,3.0,False,0.0,2.29
model_165,165,single_east__conventional__overhang,3,single,east,east,conventional,0.9,1.88,1.7,True,1.15,1.88
model_166,166,adjacent_west_north__conventional__no_overhang,3,two_adjacent,west,west;north,conventional,0.9,1.35,2.05,False,0.0,1.35
model_167,167,three_east_south_west__floor_to_ceiling__overhang,3,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.77,3.0,True,0.54,1.77
model_168,168,opposite_north_south__floor_to_ceiling__overhang,3,two_opposite,north,north;south,floor_to_ceiling,0.0,1.51,3.0,True,1.13,1.51
model_169,169,three_north_east_west__conventional__no_overhang,4,three_facades,north,north;east;west,conventional,0.9,1.25,1.25,False,0.0,1.25
model_170,170,adjacent_south_west__conventional__no_overhang,4,two_adjacent,south,south;west,conventional,0.9,0.62,0.65,False,0.0,0.62
model_171,171,single_south__floor_to_ceiling__overhang,4,single,south,south,floor_to_ceiling,0.0,1.59,3.0,True,1.03,1.59
model_172,172,three_east_south_west__conventional__no_overhang,4,three_facades,south,east;south;west,conventional,0.9,1.11,1.69,False,0.0,1.11
model_173,173,adjacent_east_south__floor_to_ceiling__overhang,4,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.99,3.0,True,1.11,1.99
model_174,174,three_north_east_south__floor_to_ceiling__no_overhang,4,three_facades,east,north;east;south,floor_to_ceiling,0.0,0.92,3.0,False,0.0,0.92
model_175,175,single_north__conventional__no_overhang,4,single,north,north,conventional,0.9,0.95,0.79,False,0.0,0.95
model_176,176,opposite_north_south__conventional__no_overhang,4,two_opposite,north,north;south,conventional,0.9,1.85,1.23,False,0.0,1.85
model_177,177,single_south__conventional__no_overhang,4,single,south,south,conventional,0.9,0.74,1.9,False,0.0,0.74
model_178,178,adjacent_east_south__conventional__no_overhang,4,two_adjacent,east,east;south,conventional,0.9,1.88,2.02,False,0.0,1.88
model_179,179,opposite_north_south__floor_to_ceiling__no_overhang,4,two_opposite,north,north;south,floor_to_ceiling,0.0,1.45,3.0,False,0.0,1.45
model_180,180,adjacent_south_west__floor_to_ceiling__no_overhang,4,two_adjacent,south,south;west,floor_to_ceiling,0.0,0.8,3.0,False,0.0,0.8
model_181,181,opposite_north_south__conventional__overhang,4,two_opposite,north,north;south,conventional,0.9,0.75,0.71,True,1.49,0.75
model_182,182,adjacent_north_east__conventional__overhang,4,two_adjacent,north,north;east,conventional,0.9,2.27,0.69,True,1.3,2.27
model_183,183,adjacent_east_south__floor_to_ceiling__no_overhang,4,two_adjacent,east,east;south,floor_to_ceiling,0.0,2.18,3.0,False,0.0,2.18
model_184,184,three_north_south_west__floor_to_ceiling__no_overhang,4,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.6,3.0,False,0.0,1.6
model_185,185,three_north_south_west__floor_to_ceiling__overhang,4,three_facades,west,north;south;west,floor_to_ceiling,0.0,2.37,3.0,True,0.57,2.37
model_186,186,single_north__floor_to_ceiling__overhang,4,single,north,north,floor_to_ceiling,0.0,1.69,3.0,True,0.68,1.69
model_187,187,single_south__floor_to_ceiling__no_overhang,4,single,south,south,floor_to_ceiling,0.0,1.76,3.0,False,0.0,1.76
model_188,188,three_east_south_west__floor_to_ceiling__overhang,4,three_facades,south,east;south;west,floor_to_ceiling,0.0,0.63,3.0,True,1.46,0.63
model_189,189,single_west__floor_to_ceiling__overhang,4,single,west,west,floor_to_ceiling,0.0,0.68,3.0,True,0.3,0.68
model_190,190,single_west__conventional__overhang,4,single,west,west,conventional,0.9,1.56,1.13,True,0.61,1.56
model_191,191,three_east_south_west__floor_to_ceiling__no_overhang,4,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.53,3.0,False,0.0,1.53
model_192,192,single_west__conventional__no_overhang,4,single,west,west,conventional,0.9,1.4,0.62,False,0.0,1.4
model_193,193,single_north__floor_to_ceiling__no_overhang,4,single,north,north,floor_to_ceiling,0.0,2.0,3.0,False,0.0,2.0
model_194,194,opposite_east_west__floor_to_ceiling__no_overhang,4,two_opposite,east,east;west,floor_to_ceiling,0.0,0.82,3.0,False,0.0,0.82
model_195,195,three_north_east_west__floor_to_ceiling__no_overhang,4,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.16,3.0,False,0.0,1.16
model_196,196,single_south__conventional__overhang,4,single,south,south,conventional,0.9,1.77,0.7,True,1.06,1.77
model_197,197,single_east__floor_to_ceiling__overhang,4,single,east,east,floor_to_ceiling,0.0,1.12,3.0,True,0.57,1.12
model_198,198,opposite_north_south__floor_to_ceiling__overhang,4,two_opposite,north,north;south,floor_to_ceiling,0.0,1.76,3.0,True,0.92,1.76
model_199,199,adjacent_south_west__floor_to_ceiling__overhang,4,two_adjacent,south,south;west,floor_to_ceiling,0.0,0.92,3.0,True,0.99,0.92
model_200,200,adjacent_north_east__conventional__no_overhang,4,two_adjacent,north,north;east,conventional,0.9,1.26,0.97,False,0.0,1.26
model_201,201,adjacent_south_west__conventional__overhang,4,two_adjacent,south,south;west,conventional,0.9,1.61,0.6,True,0.32,1.61
model_202,202,adjacent_east_south__conventional__overhang,4,two_adjacent,east,east;south,conventional,0.9,1.23,1.46,True,1.12,1.23
model_203,203,adjacent_west_north__floor_to_ceiling__overhang,4,two_adjacent,west,west;north,floor_to_ceiling,0.0,2.05,3.0,True,0.69,2.05
model_204,204,opposite_east_west__conventional__no_overhang,4,two_opposite,east,east;west,conventional,0.9,1.54,1.19,False,0.0,1.54
model_205,205,adjacent_west_north__conventional__no_overhang,4,two_adjacent,west,west;north,conventional,0.9,1.71,0.6,False,0.0,1.71
model_206,206,single_west__floor_to_ceiling__no_overhang,4,single,west,west,floor_to_ceiling,0.0,1.3,3.0,False,0.0,1.3
